BR    IPPE  0011110000000000000000000000000000
BR    IPPEXX0011110000000000000000000000000000
BS          0010000001100000310000031000001100
C           0001000001600000450000045000001600
C     I2FC  0011110000000000000000000000000000
C     I2HB  0011110000000000000000000000000000
C     I2HE  0011110000000000000000000000000000
C     I2KB  0011110000000000000000000000000000
C     I2KE  0011110000000000000000000000000000
C     I2PB  0011110000000000000000000000000000
C     I2PBXX0011110000000000000000000000000000
C     I2PE  0011110000000000000000000000000000
C     I2PEXX0011110000000000000000000000000000
C     IEHB  0011110000000000000000000000000000
C     IEHE  0011110000000000000000000000000000
C     IEKB  0011110000000000000000000000000000
C     IEKE  0011110000000000000000000000000000
C     IPKB  0011110000000000000000000000000000
C     IPKE  0011110000000000000000000000000000
C     IPPB  0011110000000000000000000000000000
C     IPPBXX0011110000000000000000000000000000
C     IPPE  0011110000000000000000000000000000
C     IPPEXX0011110000000000000000000000000000
C0          0010000001100000310000031000001100
CP          0010000002090000580000058000002090
D65         0001000001600000450000045000001600
D65   I2FC  0011110000000000000000000000000000
D65   I2HB  0011110000000000000000000000000000
D65   I2KB  0011110000000000000000000000000000
D65   I2KE  0011110000000000000000000000000000
D65   IEKB  0011110000000000000000000000000000
D65   IEKE  0011110000000000000000000000000000
DL          0001000001290000370000037000001290
DNE         0011000002000000500000050000002000
E           0011110000000000000000000000000000
EC          0011110000000000000000000000000000
ER          0011110000000000000000000000000000
EXT         0010000004000001130000113000004000
F           0001000000890000250000025000000890
F     I2FC  0011110000000000000000000000000000
F     I2HB  0011110000000000000000000000000000
F     I2HE  0011110000000000000000000000000000
F     I2KB  0011110000000000000000000000000000
F     I2KE  0011110000000000000000000000000000
F     I2PB  0011110000000000000000000000000000
F     I2PBXX0011110000000000000000000000000000
F     I2PE  0011110000000000000000000000000000
F     I2PEXX0011110000000000000000000000000000
F     IEHB  0011110000000000000000000000000000
F     IEHE  0011110000000000000000000000000000
F     IEKB  0011110000000000000000000000000000
F     IEKE  0011110000000000000000000000000000
F     IPKB  0011110000000000000000000000000000
F     IPKE  0011110000000000000000000000000000
F     IPPB  0011110000000000000000000000000000
F     IPPBXX0011110000000000000000000000000000
F     IPPE  0011110000000000000000000000000000
F     IPPEXX0011110000000000000000000000000000
F0          0001000001980000450000045000001980
F0    I2FC  0011110000890000200000020000000890
F0    I2HB  0011110000890000200000020000000890
F0    I2HE  0011110000890000200000020000000890
F0    I2KB  0011110000890000200000020000000890
F0    I2KE  0011110000890000200000020000000890
F0    I2PB  0011110000890000200000020000000890
F0    I2PBXX0011110000890000200000020000000890
F0    I2PE  0011110000890000200000020000000890
F0    I2PEXX0011110000890000200000020000000890
F0    IEHB  0011110000890000200000020000000890
F0    IEHE  0011110000890000200000020000000890
