BG    00             000000000+0000+0000+0000+0000+00000000000000000000000000000000000000000000000000000000
BI    00   +1025+2000000000000+0000+0000+0300+0400+07001300600026001700000000000000000000000000000000000000
BI    00   -1000+1000000000000+0000+0000+0300+0250+08001300600026001800000000000000000000000000000000000000
BI    00   -2000-1025000000000+0000+0000+0300+0200+07001300600026001700000000000000000000000000000000000000
CB    00             000000000+0000+0000+0000+0000+00000000000000000000000000000000000000000000000000000000
COB   00             000000000+0000+0000+0300+0250+08001400450028001900000000000000000000000000000000000000
COBNB 00             000000000+0000+0000+0300+0250+08001400450028001900000000000000000000000000000000000000
COBNY 00             000000000+0000+0000+0300+0250+08001400450028001900000000000000000000000000000000000000
COC   00             000000000+0000+0000+0000+0000+00000000000000000000000000000000000000000000000000000000
COE   00             000000000+0000+0000+0000+0000+00000000000000000000000000000000000000000000000000000000
COH   00             000000000+0000+0000+0000+0000+00000000000000000000000000000000000000000000000000000000
COI   00             000000000+0000+0000+0000+0000+00000000000000000000000000000000000000000000000000000000
COS   00             000000000+0000+0000+0000+0000+00000000000000000000000000000000000000000000000000000000
COX   00             000000000+0000+0000+0000+0000+00000000000000000000000000000000000000000000000000000000
CS    00             000000000+0000+0000+0000+0000+00000000000000000000000000000000000000000000000000000000
DABI  00             000000000+0300+0000+0000+0200+05002000640040002500000000000000000000000000000000000000
DINB  0000                   1-0200+0230+0500+0480+10001400000028001900000000000000000000000000000000000000
DINY  0000                   1-0200+0230+0500+0480+10001400000028001900000000000000000000000000000000000000
EL    00             000000000+0300+0200+0000-0200+05002000640040002500000000000000000000000000000000000000
GI    00             000000000+0000+0000+0300+0250+08001400600028001900000000000000000000000000000000000000
GSZ   00             000000000+0000+0000+0500+0250+10001300450026001800000000000000000000000000000000000000
GUX   00             000000000+0000+0000+0400+0250+09001400450028001900000000000000000000000000000000000000
GUXCB 00             000000000+0000+0000+0400+0250+09001400450028001900000000000000000000000000000000000000
GUZ   0000                   0+0000+0300+0400+0250+09001400450028001900000000000000000000000000000000000000
I2FC  00                     0+0400+0000+0000+0000+00000000000000000000000004000140014000250000000000000000
I2FC  0000                   0+0400+0500+0000+0000+00000000000000000000000004000140014000250000000000000000
I2FCNB00                     0+0400+0000+0000+0000+00000000000000000000000004000140014000250000000000000000
I2FCNB0000                   0+0400+0500+0000+0000+00000000000000000000000004000140014000250000000000000000
I2FCNG00                     0+0400+0000+0000+0000+00000000000000000000000004000140014000250000000000000000
I2FCNG0000                   0+0400+0500+0000+0000+00000000000000000000000004000140014000250000000000000000
I2FCNN00                     0+0400+0000+0000+0000+00000000000000000000000004000140014000250000000000000000
I2FCNN0000                   0+0400+0500+0000+0000+00000000000000000000000004000140014000250000000000000000
I2FCNO00                     0+0400+0000+0000+0000+00000000000000000000000004000140014000250000000000000000
I2FCNO0000                   0+0400+0500+0000+0000+00000000000000000000000004000140014000250000000000000000
I2FCNY00                     0+0400+0000+0000+0000+00000000000000000000000004000140014000250000000000000000
I2FCNY0000                   0+0400+0500+0000+0000+00000000000000000000000004000140014000250000000000000000
I2FCSB00                     0+0400+0000+0000+0000+00000000000000000000000004000140014000250000000000000000
I2FCSB0000                   0+0400+0500+0000+0000+00000000000000000000000004000140014000250000000000000000
I2FCSG00                     0+0400+0000+0000+0000+00000000000000000000000004000140014000250000000000000000
I2FCSG0000                   0+0400+0500+0000+0000+00000000000000000000000004000140014000250000000000000000
I2FCSN00                     0+0400+0000+0000+0000+00000000000000000000000004000140014000250000000000000000
I2FCSN0000                   0+0400+0500+0000+0000+00000000000000000000000004000140014000250000000000000000
I2FCSO00                     0+0400+0000+0000+0000+00000000000000000000000004000140014000250000000000000000
I2FCSO0000                   0+0400+0500+0000+0000+00000000000000000000000004000140014000250000000000000000
I2FCSR00                     0+0400+0000+0000+0000+00000000000000000000000004000140014000250000000000000000
I2FCSR0000                   0+0400+0500+0000+0000+00000000000000000000000004000140014000250000000000000000
I2FCSY00                     0+0400+0000+0000+0000+00000000000000000000000004000140014000250000000000000000
I2FCSY0000                   0+0400+0500+0000+0000+00000000000000000000000004000140014000250000000000000000
I2FG  00                     0+0400+0000+0000+0000+00000000000000000000000004000100010000250000000000000000
I2FG  00                     0+0400+0000+0000+0000+00000000000000000000000004000120012000250000000000000000
I2FG  00                     0+0400+0000+0000+0000+00000000000000000000000004000140014000250000000000000000
