I2FCNOImpr.FashCurved 2 CM IQ CO 1.60 OR      20130401201403313010010012159701304050100010000011010140000000000101354                   000000
I2FCNYImpr.FashCurved 2 CM IQ 1.60 GY         20130401        3010010012159701304050100010000011010140000000000121124                   000000
I2FCSBImpr.FashCurved 2 CM IQ SUN 1.60 BN     20140401        3010010012159701304050100010000011010140000000000101157                   000000
I2FCSGImpr.FashCurved 2 CM IQ CO SUN 1.60 GN  20140401        3010010012159701304050100010000011010140000000000101241                   000000
I2FCSNImpr.FashCurved 2 CM IQ SUN 1.60 GN     20140401        3010010012159701304050100010000011010140000000000101199                   000000
I2FCSOImpr.FashCurved 2 CM IQ CO SUN 1.60 OR  20140401        3010010012159701304050100010000011010140000000000101262                   000000
I2FCSRImpr.FashCurved 2 CM IQ CO SUN 1.60 BN  20140401        3010010012159701304050100010000011010140000000000101220                   000000
I2FCSYImpr.FashCurved 2 CM IQ SUN 1.60 GY     20140401        3010010012159701304050100010000011010140000000000101178                   000000
I2FG  Impr. FreeSign 2 1.74                   20130401201409303110010012174001473250100000000011010100000000000121004                   000000
I2FH  Impr. FreeSign 2 1.67                   20130401201409303110010012166801373140100000000011010100000000000121019                   000000
I2FHNBImpr. FreeSign 2 CM IQ 1.67 BN          20130401201409303110010012166801373140100010000011010140000000000121041                   000000
I2FHNYImpr. FreeSign 2 CM IQ 1.67 GY          20130401201409303110010012166801373140100010000011010140000000000121065                   000000
I2FK  Impr. FreeSign 2 1.60                   20130401201409303110010012159701304050100000000011010138000000000121357                   000000
I2FKNBImpr. FreeSign 2 CM IQ 1.60 BN          20130401201409303110010012159701304050100010000011010140000000000121089                   000000
I2FKNNImpr. FreeSign 2 CM IQ 1.60 GN          20130401201409303110010012159701304050100010000011010140000000000121131                   000000
I2FKNYImpr. FreeSign 2 CM IQ 1.60 GY          20130401201409303110010012159701304050100010000011010140000000000121110                   000000
I2FKSBImpr. FreeSign 2 CM IQ SUN 1.60 BN      20140401201409303110010012159701304050100010000011010140000000000101152                   000000
I2FKSGImpr. FreeSign 2 CM IQ CO SUN 1.60 GN   20140401201409303110010012159701304050100010000011010140000000000101236                   000000
I2FKSNImpr. FreeSign 2 CM IQ SUN 1.60 GN      20140401201409303110010012159701304050100010000011010140000000000101194                   000000
I2FKSOImpr. FreeSign 2 CM IQ CO SUN 1.60 OR   20140401201409303110010012159701304050100010000011010140000000000101257                   000000
I2FKSRImpr. FreeSign 2 CM IQ CO SUN 1.60 BN   20140401201409303110010012159701304050100010000011010140000000000101215                   000000
I2FKSYImpr. FreeSign 2 CM IQ SUN 1.60 GY      20140401201409303110010012159701304050100010000011010140000000000101173                   000000
I2HB  Impr.Sport 2 1.67 b.c.                  20130401        3010010012166801373140100000000011010100000000000121367                   000000
I2HBNBImpr.Sport 2 CM IQ 1.67 BN b.c.         20130401        3010010012166801373140100010000011010100000000000121060                   000000
I2HBNYImpr.Sport 2 CM IQ 1.67 GY b.c.         20130401        3010010012166801373140100010000011010100000000000121084                   000000
I2HC  Impr.Sport 2 1.67 clip-in               20130401        3010010012166801373140100000000011010100000000000121370                   000000
I2HE  Impr.Sport 2 1.67 e.c.                  20130401        3010010012166801373140100000000011010100000000000121366                   000000
I2HENBImpr.Sport 2 CM IQ 1.67 BN e.c.         20130401        3010010012166801373140100010000011010100000000000121059                   000000
I2HENYImpr.Sport 2 CM IQ 1.67 GY e.c.         20130401        3010010012166801373140100010000011010100000000000121083                   000000
I2KB  Impr.Sport 2 1.60 b.c.                  20130401        3010010012159701304050100000000011010100000000000121369                   000000
I2KBNBImpr.Sport 2 CM IQ 1.60 BN b.c.         20130401        3010010012159701304050100010000011010100000000000121105                   000000
I2KBNGImpr.Sport 2 CM IQ CO 1.60 GN b.c.      20130401201403313010010012159701304050100010000011010100000000000101791                   000000
I2KBNNImpr.Sport 2 CM IQ 1.60 GN b.c.         20130401        3010010012159701304050100010000011010100000000000121147                   000000
I2KBNOImpr.Sport 2 CM IQ CO 1.60 OR b.c.      20130401201403313010010012159701304050100010000011010100000000000101792                   000000
I2KBNYImpr.Sport 2 CM IQ 1.60 GY b.c.         20130401        3010010012159701304050100010000011010100000000000121126                   000000
I2KBSBImpr.Sport 2 CM IQ SUN 1.60 BN b.c.     20140401        3010010012159701304050100010000011010100000000000101168                   000000
I2KBSGImpr.Sport 2 CM IQ CO SUN 1.60 GN b.c.  20140401        3010010012159701304050100010000011010100000000000101252                   000000
I2KBSNImpr.Sport 2 CM IQ SUN 1.60 GN b.c.     20140401        3010010012159701304050100010000011010100000000000101210                   000000
I2KBSOImpr.Sport 2 CM IQ CO SUN 1.60 OR b.c.  20140401        3010010012159701304050100010000011010100000000000101273                   000000
I2KBSRImpr.Sport 2 CM IQ CO SUN 1.60 BN b.c.  20140401        3010010012159701304050100010000011010100000000000101231                   000000
I2KBSYImpr.Sport 2 CM IQ SUN 1.60 GY b.c.     20140401        3010010012159701304050100010000011010100000000000101189                   000000
I2KC  Impr.Sport 2 1.60 clip-in               20130401        3010010012159701304050100000000011010100000000000121371                   000000
I2KE  Impr.Sport 2 1.60 e.c.                  20130401        3010010012159701304050100000000011010100000000000121368                   000000
I2KENBImpr.Sport 2 CM IQ 1.60 BN e.c.         20130401        3010010012159701304050100010000011010100000000000121104                   000000
I2KENGImpr.Sport 2 CM IQ CO 1.60 GN e.c.      20130401201403313010010012159701304050100010000011010100000000000101787                   000000
I2KENNImpr.Sport 2 CM IQ 1.60 GN e.c.         20130401        3010010012159701304050100010000011010100000000000121146                   000000
I2KENOImpr.Sport 2 CM IQ CO 1.60 OR e.c.      20130401201403313010010012159701304050100010000011010100000000000101788                   000000
I2KENYImpr.Sport 2 CM IQ 1.60 GY e.c.         20130401        3010010012159701304050100010000011010100000000000121125                   000000
I2KESBImpr.Sport 2 CM IQ SUN 1.60 BN e.c.     20140401        3010010012159701304050100010000011010100000000000101167                   000000
I2KESGImpr.Sport 2 CM IQ CO SUN 1.60 GN e.c.  20140401        3010010012159701304050100010000011010100000000000101251                   000000
I2KESNImpr.Sport 2 CM IQ SUN 1.60 GN e.c.     20140401        3010010012159701304050100010000011010100000000000101209                   000000
I2KESOImpr.Sport 2 CM IQ CO SUN 1.60 OR e.c.  20140401        3010010012159701304050100010000011010100000000000101272                   000000
I2KESRImpr.Sport 2 CM IQ CO SUN 1.60 BN e.c.  20140401        3010010012159701304050100010000011010100000000000101230                   000000
I2KESYImpr.Sport 2 CM IQ SUN 1.60 GY e.c.     20140401        3010010012159701304050100010000011010100000000000101188                   000000
I2LG  Impression  2 L 1.74                    20130401        3110010012174001473250100000000011000100000000000121005                   000000
I2LH  Impression 2 L 1.67                     20130401        3110010012166801353140100000000011010138000000000121020                   000000
I2LHNBImpression 2 L CM IQ 1.67 BN            20130401        3110010012166801373140100010000011010140000000000121042                   300000
I2LHNYImpression 2 L CM IQ 1.67 GY            20130401        3110010012166801373140100010000011010140000000000121066                   300000
I2LK  Impression 2 L 1.60                     20130401        3110010012159701304050100000000011010138000000000121304                   000000
I2LKNBImpression 2 L CM IQ 1.60 BN            20130401        3110010012159701304050100010000011010140000000000121090                   000000
I2LKNGImpression 2 L CM IQ Contr.1.60 GN      20130401201403313110010012159701304050100010000011010140000000000101837                   000000
I2LKNNImpression 2 L CM IQ 1.60 GN            20130401        3110010012159701304050100010000011010140000000000121132                   000000
I2LKNOImpression 2 L CM IQ Contr.1.60 OR      20130401201403313110010012159701304050100010000011010140000000000101838                   000000
I2LKNYImpression 2 L CM IQ 1.60 GY            20130401        3110010012159701304050100010000011010140000000000121111                   000000
I2LKSBImpression 2 L CM IQ SUN 1.60 BN        20140401        3110010012159701304050100010000011010140000000000101153                   000000
I2LKSGImpr. 2 L CM IQ CO SUN 1.60 GN          20140401        3110010012159701304050100010000011010140000000000101237                   000000
I2LKSNImpression 2 L CM IQ SUN 1.60 GN        20140401        3110010012159701304050100010000011010140000000000101195                   000000
I2LKSOImpr. 2 L CM IQ CO SUN 1.60 OR          20140401        3110010012159701304050100010000011010140000000000101258                   000000
I2LKSRImpr. 2 L CM IQ CO SUN 1.60 BN          20140401        3110010012159701304050100010000011010140000000000101216                   000000
I2LKSYImpression 2 L CM IQ SUN 1.60 GY        20140401        3110010012159701304050100010000011010140000000000101174                   000000
I2LP  Impression 2 L 1.50                     20130401        3110010012150201325820100000000011010135000000000121308                   000000
I2LPNBImpression 2 L CM IQ 1.54 BN            20130401        3110010012153801214630100010000011010140000000000121274                   000000
I2LPNYImpression 2 L CM IQ 1.54 GY            20130401        3110010012153801214630100010000011010140000000000121287                   000000
