RL RL    Rogal                                   12000000000000000000000000000000000000000000
S00S0    Skyline Sonderfarbe                     00000000000000000000000000000000000000000000
S66S     Chocolate Brown                         85350000000000000000000000000003038000000000
S69S     Skyline Black blue                      00002280800900000000000000341250000000000000
S70S     Skyline Black camel                     00000000000000000000000000000000000000000000
S71S     Skyline Azur                            00000000000000000000000000000000000000000000
S74S     Skyline Smoke                           00000000000000000000000000000000000000000000
S81S     Stone Camel                             00000000000000000000000000000000000000000000
S82S     Skyline Terra                           00000000000000000000000000000000000000000000
U69SUV   BlackBlue                               80450000000000000000000000000003240000000000
U70SUV   BlackCamel UV400                        80400000000000000000000000000003240000000000
U82SUV   Terra UV400                             85400000000000000000000000000000340000000000
