COBNY 75   -0600+0600042506000001000500007503004******************************0                0000 11100071  014400
COBNY 75   -0600+0600042506000001000500030003502******************************0                0000 11100071  014400
COC   60   -0800+0800000004000001000500000000004******************************0                0000 11100050  014400
COC   60   -0800+0800042506000001000500000000004******************************0                0000 11100050  014400
COC   65   -0800+0800000004000001000500000000004******************************0                0000 11100061  014400
COC   65   -0800+0800042506000001000500000000004******************************0                0000 11100061  014400
COC   70   -0600+0600000004000001000500000000004******************************0                0000 11100066  014400
COC   70   -0600+0600042506000001000500000000004******************************0                0000 11100066  014400
COC   75   -0600+0600000004000001000500000000004******************************0                0000 11100071  014400
COC   75   -0600+0600042506000001000500000000004******************************0                0000 11100071  014400
COE   55   +0000+1200000005000001000500000000004******************************0                0000 11100050  014400
COE   60   +0000+1200000005000001000500000000004******************************0                0000 11100056  014400
COE   65   +0000+1000000005000001000500000000004******************************0                0000 11100061  014400
COE   70   -1000+0800000005000001000500000000004******************************0                0000 11100066  014400
COE   75   -0600+0600000005000001000500000000004******************************0                0000 11100071  014400
COEL  65   +0000+0000002503000000000000000000004******************************0                1000 11100000  004400
COEL  65   +0025+0600000003000001000000000000004******************************0                1000 11100065  004400
COEL  70   +0000+0000000000000001000000000000004******************************0                1000 11100000  004400
COEL  70   -1000-0025000003000000000000000000004******************************0                1000 11100070  004400
COEL  75   -0600-0025000003000000000000000000004******************************0                1000 11100070  004400
COENB 55   +0000+1200000005000001000500000000004******************************0                0000 11100050  014400
COENB 60   +0000+1200000005000001000500000000004******************************0                0000 11100056  014400
COENB 65   +0000+1000000005000001000500000000004******************************0                0000 11100061  014400
COENB 70   -1000+0800000005000001000500000000004******************************0                0000 11100066  014400
COENB 75   -0600+0600000005000001000500000000004******************************0                0000 11100071  014400
COENY 55   +0000+1200000005000001000500000000004******************************0                0000 11100050  014400
COENY 60   +0000+1200000005000001000500000000004******************************0                0000 11100056  014400
COENY 65   +0000+1000000005000001000500000000004******************************0                0000 11100061  014400
COENY 70   -1000+0800000005000001000500000000004******************************0                0000 11100066  014400
COENY 75   -0600+0600000005000001000500000000004******************************0                0000 11100071  014400
COH   65   -1200+1200000005000001000500000000004******************************0                0000 11100050  014400
COH   70   -1200+0800000005000001000500000000004******************************0                0000 11100066  014400
COH   75   -0600+0600000005000001000500000000004******************************0                0000 11100071  014400
COHL  65   +0000+0000002503000000000000000000004******************************0                1000 11100000  004400
COHL  65   +0025+0600000003000001000000000000004******************************0                1000 11100065  004400
COHL  70   +0000+0000000000000001000000000000004******************************0                1000 11100000  004400
COHL  70   -1000-0025000003000000000000000000004******************************0                1000 11100070  004400
