I2FCNBImpr.FashCurved 2 CM IQ 1.60 BN         20130401        3010010012159701304050100010000011010140000000000121157                   000000
I2FCNGImpr.FashCurved 2 CM IQ CO 1.60 GN      20130401201403313010010012159701304050100010000011010140000000000101479                   000000
I2FCNNImpr.FashCurved 2 CM IQ 1.60 GN         20130401        3010010012159701304050100010000011010140000000000121199                   000000
I2FCNOImpr.FashCurved 2 CM IQ CO 1.60 OR      20130401201403313010010012159701304050100010000011010140000000000101480                   000000
I2FCNYImpr.FashCurved 2 CM IQ 1.60 GY         20130401        3010010012159701304050100010000011010140000000000121178                   000000
I2FCPBImpr.FashCurved 2 POL 1.60 BN           20150401        3110010012159701304200100200000011010340000000000121156                   001000
I2FCPGImpr.FashCurved 2 POL 1.60 GY           20150401        3110010012159701304200100200000011010340000000000121155                   001000
I2FCPNImpr.FashCurved 2 POL 1.60 GN           20150401        3110010012159701304200100200000011010340000000000121154                   001000
I2FCSBImpr.FashCurved 2 CM IQ SUN 1.60 BN     20140401        3010010012159701304050100010000011010140000000000101214                   000000
I2FCSGImpr.FashCurved 2 CM IQ CO SUN 1.60 GN  20140401        3010010012159701304050100010000011010340000000000101322                   000100
I2FCSNImpr.FashCurved 2 CM IQ SUN 1.60 GN     20140401        3010010012159701304050100010000011010140000000000101274                   000000
I2FCSOImpr.FashCurved 2 CM IQ CO SUN 1.60 OR  20140401        3010010012159701304050100010000011010240000000000101343                   000100
I2FCSRImpr.FashCurved 2 CM IQ CO SUN 1.60 BN  20140401        3010010012159701304050100010000011010240000000000101295                   000100
I2FCSYImpr.FashCurved 2 CM IQ SUN 1.60 GY     20140401        3010010012159701304050100010000011010140000000000101253                   000000
I2FG  Impr. FreeSign 2 1.74                   20130401201409303110010012173701473250100000000011010100000000000121004                   000000
I2FH  Impr. FreeSign 2 1.67                   20130401201409303110010012166801373140100000000011010100000000000121022                   000000
I2FHNBImpr. FreeSign 2 CM IQ 1.67 BN          20130401201409303110010012166801373140100010000011010140000000000121047                   000000
I2FHNYImpr. FreeSign 2 CM IQ 1.67 GY          20130401201409303110010012166801373140100010000011010140000000000121076                   000000
I2FK  Impr. FreeSign 2 1.60                   20130401201409303110010012159701304050100000000011010138000000000121483                   000000
I2FKNBImpr. FreeSign 2 CM IQ 1.60 BN          20130401201409303110010012159701304050100010000011010140000000000121110                   000000
I2FKNNImpr. FreeSign 2 CM IQ 1.60 GN          20130401201409303110010012159701304050100010000011010140000000000121185                   000000
I2FKNYImpr. FreeSign 2 CM IQ 1.60 GY          20130401201409303110010012159701304050100010000011010140000000000121164                   000000
I2FKSBImpr. FreeSign 2 CM IQ SUN 1.60 BN      20140401201409303110010012159701304050100010000011010140000000000101209                   000000
I2FKSGImpr. FreeSign 2 CM IQ CO SUN 1.60 GN   20140401201409303110010012159701304050100010000011010340000000000101317                   000100
I2FKSNImpr. FreeSign 2 CM IQ SUN 1.60 GN      20140401201409303110010012159701304050100010000011010140000000000101269                   000000
I2FKSOImpr. FreeSign 2 CM IQ CO SUN 1.60 OR   20140401201409303110010012159701304050100010000011010240000000000101338                   000100
I2FKSRImpr. FreeSign 2 CM IQ CO SUN 1.60 BN   20140401201409303110010012159701304050100010000011010240000000000101290                   000100
I2FKSYImpr. FreeSign 2 CM IQ SUN 1.60 GY      20140401201409303110010012159701304050100010000011010140000000000101248                   000000
I2HB  Impr.Sport 2 1.67 b.c.                  20130401        3010010012166801373140100000000011010100000000000121493                   000000
I2HBNBImpr.Sport 2 CM IQ 1.67 BN b.c.         20130401        3010010012166801373140100010000011010100000000000121071                   000000
I2HBNYImpr.Sport 2 CM IQ 1.67 GY b.c.         20130401        3010010012166801373140100010000011010100000000000121096                   000000
I2HC  Impr.Sport 2 1.67 clip-in               20130401        3010010012166801373140100000000011010100000000000121496                   000000
I2HE  Impr.Sport 2 1.67 e.c.                  20130401        3010010012166801373140100000000011010100000000000121492                   000000
I2HENBImpr.Sport 2 CM IQ 1.67 BN e.c.         20130401        3010010012166801373140100010000011010100000000000121070                   000000
I2HENYImpr.Sport 2 CM IQ 1.67 GY e.c.         20130401        3010010012166801373140100010000011010100000000000121095                   000000
I2KB  Impr.Sport 2 1.60 b.c.                  20130401        3010010012159701304050100000000011010100000000000121495                   000000
I2KBNBImpr.Sport 2 CM IQ 1.60 BN b.c.         20130401        3010010012159701304050100010000011010100000000000121159                   000000
I2KBNGImpr.Sport 2 CM IQ CO 1.60 GN b.c.      20130401201403313010010012159701304050100010000011010100000000000101005                   000000
I2KBNNImpr.Sport 2 CM IQ 1.60 GN b.c.         20130401        3010010012159701304050100010000011010100000000000121201                   000000
